Product Group,Product Number,Q1,Q2,Q3,Q4,Region
Electronics,P001,15000,18000,22000,25000,North
Electronics,P002,12000,14000,16000,18000,North
Electronics,P003,9000,11000,13000,15000,South
Electronics,P004,8000,9500,11000,12500,South
Furniture,P005,6000,7200,8400,9600,North
Furniture,P006,5500,6600,7700,8800,North
Furniture,P007,4500,5400,6300,7200,South
Furniture,P008,4000,4800,5600,6400,South
Clothing,P009,3500,4200,4900,5600,North
Clothing,P010,3000,3600,4200,4800,North
Clothing,P011,2500,3000,3500,4000,South
Clothing,P012,2000,2400,2800,3200,South
Sports,P013,7000,8400,9800,11200,North
Sports,P014,6500,7800,9100,10400,North
Sports,P015,5500,6600,7700,8800,South
Sports,P016,5000,6000,7000,8000,South
